role,kernel,grid,block,calls_per_step,time_us_per_step,rank_min_us,rank_max_us,mean_call_us,p50_call_us,p90_call_us,p99_call_us,launch_occupancy_pct
Target routed W4 MoE,marlin_moe_wna16::Marlin,396x1x1,128x1x1,289.5,9338.108458333334,8895.612833333334,9663.425333333334,32.25598776626367,28.991,64.191,115.389,0
TP custom all-reduce,vLLM custom all-reduce,6x1x1,512x1x1,166.0,8939.828083333334,7002.797166666667,11083.032833333333,53.85438604417671,5.472,90.142,945.227,1
Target W4 Machete,Machete GEMM,1x132x1,384x1x1,312.0,3796.142375,3758.5205,3829.1366666666668,12.167122996794872,13.28,17.312,26.816,0
DCP LSE all-gather,NCCL AllGather,1x1x1,128x1x1,81.0,2385.7260833333335,1592.668,3037.8841666666667,29.45340843621399,6.144,7.52,935.02,0
Vocabulary all-gather,NCCL AllGather,16x1x1,512x1x1,3.0,1299.4342083333333,722.1496666666667,1738.5751666666665,433.1447361111111,389.303,847.438,1115.112,0
DCP query all-gather,NCCL AllGather,18x1x1,512x1x1,79.0,1209.2471249999999,1121.2753333333333,1427.3521666666666,15.306925632911392,9.536,12.992,17.6,0
Sparse MLA,sm90::decode::sparse_fp8::flash_fwd_splitkv_mla_fp8_sparse_kernel,1x4x33,384x1x1,79.0,1191.1207083333334,1185.8415,1195.6965,15.077477320675104,15.072,15.232,15.392,0
DCP query all-gather,NCCL AllGather,4x1x1,512x1x1,2.0,1041.6491666666666,596.8405,1383.6335,520.8245833333333,606.675,852.813,880.333,0
DCP candidate all-gather,NCCL AllGather,4x1x1,512x1x1,2.0,949.231,519.8338333333334,1261.6783333333333,474.6155,526.101,798.638,842.829,0
Routed MoE support,vllm::moe::moe_sum_vec_kernel,12x1x1,256x1x1,144.75,918.3195000000001,888.4361666666667,944.549,6.344176165803109,5.376,8.0,26.655,1
Target QKV-A W4,marlin::Marlin,132x1x1,128x1x1,78.0,877.5625,872.3708333333333,884.5614999999999,11.250801282051281,11.2,11.648,12.064,0
DCP reduce-scatter,NCCL ReduceScatter,16x1x1,512x1x1,79.0,875.5452083333333,752.4490000000001,976.3575,11.082850738396624,7.264,8.416,10.015,0
Routed MoE support,vllm::act_and_mul_kernel,32x1x1,256x1x1,144.75,738.92,723.9605,756.7581666666666,5.104801381692574,3.168,10.048,26.528,3
Sparse MLA,smxx::decode::flash_fwd_mla_combine_kernel,1x4x8,256x1x1,79.0,706.9135000000001,698.5658333333334,713.2791666666667,8.948272151898735,8.96,9.151,9.248,3
Vocabulary GEMM,nvjet_sm90_tst_192x8_64x8_2x1_v_bz_TNT,2x66x1,384x1x1,4.0,587.5149583333333,585.6353333333333,589.0158333333333,146.87873958333333,147.42,148.061,148.957,0
DCP candidate all-gather,NCCL AllGather,16x1x1,512x1x1,22.0,547.33175,363.9433333333333,764.2978333333334,24.878715909090907,10.72,14.527,509.237,0
DCP reduce-scatter,NCCL ReduceScatter,4x1x1,512x1x1,2.0,497.4890416666667,293.8333333333333,659.5855,248.74452083333333,287.865,397.783,407.383,0
Routed MoE support,vllm::moe::moe_align_block_size_kernel,2x1x1,1024x1x1,144.75,480.02116666666666,476.7036666666666,483.62433333333337,3.316208405296488,3.328,3.488,3.936,1
Elementwise and metadata,at::native::vectorized_elementwise_kernel,1x1x1,128x1x1,361.75,442.8740416666667,435.6995,455.87850000000003,1.2242544344621056,1.152,1.728,1.92,0
MTP FP8 block,deep_gemm::fp8_gemm_kernel_swapAB,132x1x1,384x1x1,24.0,367.35295833333333,354.0465,382.9256666666667,15.306373263888888,10.016,37.055,63.071,0
MLA/DSA BF16 GEMMs,nvjet_sm90_tst_64x8_64x16_4x1_v_bz_NNT,4x16x1,384x1x1,81.0,336.37766666666664,334.99516666666665,337.1515,4.1528106995884775,4.16,4.288,4.512,0
Routed MoE support,vllm::moe::count_and_sort_expert_tokens_kernel,1x1x1,256x1x1,144.75,333.5160833333333,326.1358333333333,338.46933333333334,2.3040834772596432,2.304,2.592,2.944,0
DSA top-k,vllm::cooperative::cooperative_topk_cs8,4x8x1,1024x1x1,22.0,314.35325,312.5216666666667,317.4918333333333,14.288784090909092,14.239,14.975,15.488,0
Routed MoE support,vllm::moe::grouped_topk_fused_small_expert_count_kernel,4x1x1,384x1x1,78.0,312.91541666666666,310.8421666666666,315.3275,4.011736111111111,3.84,4.032,8.415,1
MLA/DSA BF16 GEMMs,nvjet_sm90_tst_64x8_64x16_2x1_v_bz_TNT,2x64x1,384x1x1,81.0,306.25708333333336,305.68533333333335,307.1615,3.780951646090535,3.776,3.904,4.096,0
DSA full-context scan,deep_gemm::sm90_fp8_paged_mqa_logits,132x1x1,640x1x1,24.0,294.487125,293.4551666666667,295.43350000000004,12.270296875,12.672,12.991,13.248,0
Memsets,Memset ,,,242.0,292.7745,291.71666666666664,294.1028333333333,1.2098119834710743,1.184,1.376,1.824,
DSA top-k,DCP stable top-k,4x1x1,512x1x1,22.0,287.8686666666667,287.17733333333337,288.1275,13.084939393939393,13.344,14.24,15.296,1
Target MoE router,BF16 router GEMM,256x1x1,128x1x1,75.0,265.93375,265.1508333333333,267.5515,3.5457833333333335,3.52,3.68,4.448,12
Elementwise and metadata,at::native::elementwise_kernel,256x1x1,128x1x1,101.0,215.520625,215.01416666666668,215.99483333333333,2.133867574257426,2.207,2.24,2.272,12
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_moe_forward_shared_0,4x1x1,512x1x1,77.25,215.17325,212.4271666666667,218.25133333333335,2.7854142394822006,2.752,3.008,3.359,1
Elementwise and metadata,at::native::elementwise_kernel,288x1x1,128x1x1,79.0,204.51258333333334,201.27016666666668,206.58166666666668,2.588766877637131,2.592,2.656,2.784,14
Elementwise and metadata,at::native::elementwise_kernel,64x1x1,128x1x1,79.0,178.23075,177.52683333333334,178.84916666666666,2.256085443037975,2.24,2.304,2.336,3
DCP/index metadata,_convert_req_index_to_global_index_kernel,4x16x1,128x1x1,79.0,169.636,168.13000000000002,171.79016666666666,2.1472911392405063,2.144,2.272,2.432,3
Elementwise and metadata,at::native::,264x2x1,512x1x1,81.0,162.97883333333334,162.58166666666668,163.34016666666668,2.012084362139918,2.016,2.08,2.176,100
Elementwise and metadata,triton_poi_fused_mul_silu_slice_0,4x1x1,256x1x1,78.0,145.271875,141.666,148.553,1.8624599358974359,1.888,2.208,4.704,0
Attention/index support,vllm::concat_and_cache_ds_mla_kernel,4x1x1,96x1x1,81.0,145.08108333333334,138.09799999999998,151.61783333333332,1.791124485596708,1.792,1.952,2.08,0
DCP LSE correction,_correct_attn_cp_out_kernel,4x64x1,128x1x1,79.0,132.30475,130.03866666666667,133.94916666666666,1.674743670886076,1.664,1.728,1.824,12
Elementwise and metadata,at::native::elementwise_kernel,1x1x1,128x1x1,83.0,119.35608333333333,115.73583333333333,122.723,1.4380251004016065,1.44,1.568,1.728,0
Elementwise and metadata,at::native::vectorized_elementwise_kernel,24x1x1,128x1x1,69.75,98.87199999999999,97.46833333333332,100.21633333333334,1.4175197132616488,1.344,1.824,2.368,1
Elementwise and metadata,memcpy32_post,48x1x1,256x1x1,78.0,97.19516666666667,95.88566666666667,98.32783333333333,1.2460918803418803,1.12,1.728,2.112,5
Elementwise and metadata,triton_red_fused_4,8x1x1,256x1x1,43.0,94.22437500000001,2.122666666666667,125.29833333333335,2.191264534883721,2.176,2.336,2.464,1
