role,category,kernel,calls_per_step,time_us_per_step,rank_min_us,rank_max_us,mean_call_us,logical_bytes_per_step,profiler_launch_occupancy_pct,grids,blocks,streams
Routed W4 MoE,kernel,marlin_moe_wna16::Marlin,300.0,8476.29006250003,7902.435000000045,9052.76512500003,28.25430020833343,0.0,0,"[(396, 1, 1)]","[(128, 1, 1)]",[19]
Custom all-reduce,kernel,vllm::cross_device_reduce_1stage,166.0,4989.447687499997,4450.937875000001,5505.466249999993,30.056913780120464,0.0,1,"[(6, 1, 1)]","[(512, 1, 1)]",[19]
Target W4 linear,kernel,cutlass::device_kernel,312.0,4653.3236874999975,4623.919749999994,4692.220624999993,14.914498998397429,0.0,0,"[(1, 132, 1)]","[(384, 1, 1)]","[19, 466]"
Sparse MLA,kernel,sm90::decode::sparse_fp8::flash_fwd_splitkv_mla_fp8_sparse_kernel,81.0,1241.342437500001,1228.131,1257.051125000001,15.325215277777792,0.0,0,"[(1, 1, 132), (1, 4, 33)]","[(384, 1, 1)]",[19]
DSA indexer,kernel,deep_gemm::sm90_fp8_paged_mqa_logits,24.0,980.6647500000001,978.8524999999996,984.6131250000002,40.86103125,0.0,0,"[(132, 1, 1)]","[(640, 1, 1)]",[19]
Target W4 linear,kernel,marlin::Marlin,78.0,875.6800312500005,872.7226249999998,877.7028750000004,11.2266670673077,0.0,0,"[(132, 1, 1)]","[(128, 1, 1)]",[19]
Sparse MLA,kernel,smxx::decode::flash_fwd_mla_combine_kernel,81.0,711.22384375,695.3381250000001,739.7560000000009,8.780541280864197,0.0,2.950617283950617,"[(1, 1, 8), (1, 4, 8)]","[(256, 1, 1)]",[19]
DSA indexer,kernel,vllm::cooperative::cooperative_topk_cs8,24.0,626.2266562499999,620.7324999999997,630.3294999999995,26.092777343749997,0.0,0,"[(1, 8, 1), (4, 8, 1)]","[(1024, 1, 1)]",[19]
Vocabulary output,kernel,nvjet_sm90_tst_192x8_64x8_2x1_v_bz_TNT,4.0,585.9508125,585.1126249999999,587.9447499999999,146.487703125,0.0,0,"[(2, 66, 1)]","[(384, 1, 1)]",[19]
Routed MoE support,kernel,vllm::moe::moe_align_block_size_kernel,150.0,582.4035937499996,580.0958749999995,586.0601249999995,3.8826906249999973,0.0,1,"[(2, 1, 1)]","[(1024, 1, 1)]",[19]
Routed MoE support,kernel,vllm::moe::moe_sum_vec_kernel,150.0,572.74059375,568.8562499999996,579.0178750000003,3.8182706250000003,0.0,1,"[(12, 1, 1)]","[(256, 1, 1)]",[19]
MTP FP8 block,kernel,deep_gemm::fp8_gemm_kernel_swapAB,24.0,369.9728437500001,344.3258750000002,396.84725,15.415535156250003,0.0,0,"[(132, 1, 1)]","[(384, 1, 1)]","[19, 464]"
Elementwise and metadata,kernel,at::native::vectorized_elementwise_kernel,358.0,366.8248125000004,364.9500000000011,369.4663750000013,1.0246503142458112,0.0,1.76536312849162,"[(1, 1, 1), (6, 1, 1), (8, 1, 1), (24, 1, 1), (36, 1, 1), (144, 1, 1)]","[(128, 1, 1)]",[19]
MLA BF16 contractions,kernel,nvjet_sm90_tst_64x8_64x16_4x1_v_bz_NNT,81.0,346.36353125000056,345.48250000000047,347.72350000000074,4.276092978395068,0.0,0,"[(4, 16, 1)]","[(384, 1, 1)]",[19]
Routed MoE support,kernel,vllm::act_and_mul_kernel,150.0,345.4056250000001,340.00537499999956,348.32550000000066,2.3027041666666674,0.0,3,"[(32, 1, 1)]","[(256, 1, 1)]",[19]
Routed MoE support,kernel,vllm::moe::grouped_topk_fused_small_expert_count_kernel,78.0,327.9085000000001,324.1827500000004,330.7821250000004,4.20395512820513,0.0,1,"[(4, 1, 1)]","[(384, 1, 1)]",[19]
