role,kernel,grid,block,calls_per_step,time_us_per_step,rank_min_us,rank_max_us,mean_call_us,p50_call_us,p90_call_us,p99_call_us,launch_occupancy_pct
Target routed W4 MoE,marlin_moe_wna16::Marlin,396x1x1,128x1x1,300.0,28036.397125,27472.67475,28763.38625,93.45465708333333,73.726,178.429,256.379,0
TP custom all-reduce,vLLM custom all-reduce,12x1x1,512x1x1,160.0,7126.26725,6853.31525,7394.21125,44.5391703125,5.535,147.325,301.818,2
Target W4 Machete,Machete GEMM,1x132x1,384x1x1,312.0,3642.5766875,3606.91525,3682.38225,11.674925280448718,12.831,17.056,17.856,0
Routed MoE support,vllm::act_and_mul_kernel,64x1x1,256x1x1,150.0,2051.4143125,2005.8925,2133.473,13.676095416666668,6.24,27.712,42.783,6
Routed MoE support,vllm::moe::moe_sum_vec_kernel,24x1x1,256x1x1,150.0,1939.879375,1861.9255,1978.4904999999999,12.932529166666667,5.856,32.704,49.119,2
Sparse MLA,sm90::decode::sparse_fp8::flash_fwd_splitkv_mla_fp8_sparse_kernel,1x8x16,384x1x1,79.0,1462.9375,1446.4189999999999,1473.359,18.518196202531644,18.496,18.911,19.263,0
DCP query all-gather,NCCL AllGather,24x1x1,512x1x1,79.0,898.3832500000001,797.67975,1056.276,11.371939873417722,10.56,14.592,17.312,0
Target QKV-A W4,marlin::Marlin,132x1x1,128x1x1,78.0,879.1469374999999,873.38425,882.19925,11.271114583333333,11.232,11.648,12.192,0
DCP reduce-scatter,NCCL ReduceScatter,22x1x1,512x1x1,79.0,673.016,655.525,690.71525,8.519189873417721,8.447,9.6,10.656,0
Sparse MLA,smxx::decode::flash_fwd_mla_combine_kernel,1x8x8,256x1x1,79.0,616.1442499999999,600.0295,626.3385,7.799294303797469,7.808,8.128,8.352,6
DCP LSE all-gather,NCCL AllGather,1x1x1,256x1x1,79.0,524.4544375,502.14225,534.31125,6.638663765822785,6.528,7.84,8.959,0
Routed MoE support,vllm::moe::moe_align_block_size_kernel,2x1x1,1024x1x1,150.0,504.310375,496.83925,511.59499999999997,3.3620691666666667,3.36,3.519,3.648,1
DSA full-context scan,deep_gemm::sm90_fp8_paged_mqa_logits,132x1x1,640x1x1,22.0,444.277375,443.639,445.55174999999997,20.194426136363635,20.128,20.736,21.344,0
Elementwise and metadata,at::native::vectorized_elementwise_kernel,1x1x1,128x1x1,320.0,418.442375,408.9465,429.21675,1.307632421875,1.344,1.76,1.952,0
Routed MoE support,vllm::moe::count_and_sort_expert_tokens_kernel,1x1x1,256x1x1,150.0,360.0050625,351.9525,369.51324999999997,2.40003375,2.4,2.624,2.816,0
MLA/DSA BF16 GEMMs,nvjet_sm90_tst_64x8_64x16_4x1_v_bz_NNT,4x16x1,384x1x1,79.0,337.085375,336.15525,338.2815,4.266903481012658,4.256,4.416,4.64,0
DSA top-k,vllm::cooperative::cooperative_topk_cs8,8x8x1,1024x1x1,22.0,327.38425,322.9945,330.4025,14.881102272727272,14.88,15.456,15.776,0
MLA/DSA BF16 GEMMs,nvjet_sm90_tst_64x8_64x16_2x1_v_bz_TNT,2x64x1,384x1x1,79.0,306.14725,304.44175,307.4495,3.87528164556962,3.84,4.032,4.384,0
Target MoE router,kernel_cutlass_kernel_vllmmodel_executorkernelslinearcute_dsl_ll_bf16_splitkLLBf16SplitK_object_at__tensorptrbf16_gmem_align16_o_i64_div81_tensorptrbf16_gmem_align16_o_i64_div81_tensorptr_0,1x16x6,256x1x1,75.0,306.06025,301.32875,312.043,4.080803333333334,4.064,4.288,4.64,0
DSA top-k,DCP stable top-k,8x1x1,512x1x1,22.0,302.99,300.01775,306.01125,13.772272727272727,13.984,14.72,15.232,2
Routed MoE support,vllm::moe::grouped_topk_fused_small_expert_count_kernel,8x1x1,384x1x1,76.0,292.65175,290.77524999999997,294.3215,3.8506809210526316,3.84,3.968,4.352,1
Vocabulary GEMM,nvjet_sm90_tst_192x8_64x8_2x1_v_bz_TNT,2x66x1,384x1x1,2.0,285.77637500000003,279.49025,292.7545,142.8881875,141.277,148.189,148.797,0
Memsets,Memset ,,,238.0,279.01993749999997,276.928,280.6345,1.1723526785714287,1.184,1.312,1.792,
DCP candidate all-gather,NCCL AllGather,22x1x1,512x1x1,22.0,275.7164375,225.34625,311.47375,12.532565340909091,12.127,15.808,18.431,0
Elementwise and metadata,triton_red_fused_4,2x1x1,128x1x1,42.75,264.3429375,0.0,377.4805,6.183460526315789,6.112,6.688,7.04,0
Elementwise and metadata,at::native::elementwise_kernel,512x1x1,128x1x1,101.0,228.4676875,223.772,237.762,2.262056311881188,2.304,2.464,2.528,24
Elementwise and metadata,at::native::elementwise_kernel,576x1x1,128x1x1,79.0,213.5091875,210.62800000000001,215.52975,2.7026479430379746,2.688,2.784,2.88,27
