hotness_rank,layer,effective_experts,gini,top_8_route_share,top_16_route_share,top_32_route_share,experts_for_50pct,experts_for_80pct,hottest_expert,hottest_expert_share,total_routes
1,56,97.13988414571266,0.6475999064923657,0.3950750906855678,0.49784906354819614,0.5975443752181766,17,89,5,0.06319721644633995,2108384
2,68,98.54706377203642,0.6408986063200537,0.38739195516566244,0.5012023426472597,0.6046374853916554,16,90,6,0.05715941688041647,2108384
3,58,98.96296755886812,0.6424176829564727,0.3857248015541761,0.4918496820313567,0.6047963748539165,17,91,3,0.053602190113375935,2108384
4,64,99.03383758389485,0.6475165488117913,0.37487288843019106,0.5016515018137113,0.6038131573755066,16,89,6,0.048188565270842504,2108384
5,55,100.96722032517692,0.6424866264577516,0.37537801463111087,0.48585599207734453,0.5965777581313461,18,90,4,0.05054344939062334,2108384
6,60,101.21135991538746,0.6400479177713831,0.38120143199720735,0.478468817824457,0.5964326232792508,19,90,2,0.051835434152412464,2108384
7,20,101.35977881109716,0.6338138296913656,0.37680659690075435,0.49478368266881173,0.5900111175193893,17,93,6,0.05177377555511709,2108384
8,59,101.86102625306958,0.6396529470260162,0.37228844460971056,0.4797527395389075,0.5981979563495075,19,91,6,0.04938094768315449,2108384
9,61,101.86479769959041,0.6294327306778555,0.3908960606796485,0.4763771684854372,0.5844760726698742,19,93,3,0.06100169608572253,2108384
10,57,101.98863749207342,0.6357205773473902,0.38113645332159607,0.4760342518250945,0.5886982636939002,19,91,1,0.06258205336409307,2108384
11,67,102.8344288918705,0.6281120991242581,0.386394034483282,0.4735470388695798,0.5823512225476953,20,94,4,0.06210965364943009,2108384
12,21,103.23671897995133,0.6224482900766652,0.3751750155569384,0.4900222160669024,0.5839443858424271,18,96,2,0.04874017256818492,2108384
13,63,104.11332730585866,0.6222576338382857,0.385965270083628,0.46730576593258155,0.5700569725439009,21,94,0,0.059070833396572923,2108384
14,66,104.51560527587655,0.6251005879977272,0.37538750056915626,0.4721331598039067,0.577370156480034,20,94,5,0.050549615250352876,2108384
15,54,104.70969115073538,0.6225484667700476,0.38122704402993,0.4679474896413557,0.5685444397225553,21,95,5,0.05487330581146509,2108384
16,71,104.8043094655862,0.616230935784231,0.3875304498611259,0.47215545175831347,0.576632624797001,20,97,2,0.0547049304111585,2108384
17,51,105.22980943337048,0.630300453155118,0.36973245860336634,0.46273164660706967,0.5759330368661496,21,93,1,0.04845938880203986,2108384
18,52,105.55551354842005,0.6215412046619591,0.3757825898887489,0.4666061780017302,0.5704098494391914,21,95,2,0.054709199083278946,2108384
19,32,105.78125548203205,0.6113730646314903,0.38504940276534066,0.4623877813529224,0.556456034574347,22,98,1,0.05196491720673274,2108384
20,53,106.18361028528386,0.6129538591523176,0.38302273210193205,0.4589956099078726,0.5669119097849349,22,99,6,0.052495181143472916,2108384
21,62,106.40089649230688,0.620090789913033,0.3739982849424014,0.4639240290193817,0.5778178927557789,21,95,3,0.051148652237922504,2108384
22,69,106.63362411823243,0.6210405546380546,0.3703955256727427,0.4603103609209707,0.5784743196685234,21,96,2,0.04903803102281178,2108384
23,46,106.78649112720048,0.5904614624280966,0.39329315722373154,0.4714349947637622,0.556143947212652,21,108,3,0.05463947743864495,2108384
24,65,106.84941978512926,0.6062637308953207,0.3835895169001472,0.46577236404753597,0.5675194841167454,21,101,7,0.057290322825443565,2108384
25,42,108.08881700631284,0.5936166521670152,0.3886274985960812,0.4581134176696465,0.5496166732435837,23,105,2,0.05583138555405467,2108384
26,18,108.65154352319858,0.5841876371607355,0.3753206247059359,0.4711115242764126,0.5556705989041844,21,108,5,0.05185772610681925,2108384
27,48,108.79837950559983,0.6035110413650928,0.37528220665685186,0.46298871552810117,0.5619621473128235,21,101,6,0.0495132765188884,2108384
28,72,108.85542365941392,0.600676420750442,0.37512806016361344,0.4667290208994187,0.56543921790338,21,102,7,0.04857606583999879,2108384
29,45,108.96258195672978,0.6003236031422645,0.3742444450346806,0.46543087027790003,0.5622002443577641,21,104,1,0.048235046367265166,2108384
30,70,108.96872557560721,0.6092886964910091,0.3676512437961965,0.4590572685051679,0.5767085123013644,21,99,2,0.04756059617223428,2108384
31,50,109.37938157201327,0.6139834650910365,0.3677484746611623,0.44184076524959404,0.5514801857726106,24,95,6,0.04793861080334512,2108384
32,73,109.46367613025454,0.5942407120216242,0.3738479328243811,0.4661522758662559,0.5547229536934448,22,104,3,0.049273756583241006,2108384
33,74,109.5729821093026,0.5888140366033892,0.36972629274363683,0.47048972103753395,0.5548951234689696,21,106,2,0.04793197064671331,2108384
34,43,109.94008413382744,0.598318390708239,0.37174347746899994,0.4605930418747249,0.5573007573572936,22,104,3,0.049542208629927,2108384
35,49,110.05913358772364,0.5935698894568067,0.37487288843019106,0.4639676643343907,0.5533645673653377,22,105,7,0.052470043407652496,2108384
36,41,110.14456524035792,0.5849977844405954,0.38414159849439194,0.4599902105119371,0.546501965486363,23,107,4,0.052043650492509905,2108384
37,38,110.2891665852633,0.5812636375181182,0.38604684915081877,0.4569366870551095,0.538057583438311,25,108,6,0.05354432589129874,2108384
38,75,110.40167263714706,0.5835596310076818,0.3772851624751469,0.4609421243947972,0.5474282673365004,23,108,0,0.05174958641310122,2108384
39,77,110.4264695312564,0.5864136236864348,0.38239191722191024,0.45771358538103113,0.5535092279205306,23,106,3,0.05341152275866256,2108384
40,22,110.73797609687976,0.5894958643385171,0.3697210754777118,0.4633472839862188,0.554252451166391,22,106,6,0.0473955408502436,2108384
41,40,110.81106291522455,0.5954522552876991,0.374571235600346,0.4480545289662604,0.5433089987402674,25,102,4,0.049141902044409366,2108384
42,19,111.3490686689984,0.5795524372872778,0.3783196040190022,0.4622540296264817,0.5524837980178184,22,110,3,0.050929527069072805,2108384
43,30,111.96709412530345,0.5770656430469971,0.381188625980846,0.45311480261660114,0.5356519495499871,25,108,3,0.051446510692549366,2108384
44,47,112.20509503615331,0.5915460719857009,0.37008723268626587,0.44637077496319455,0.5455206451955621,24,104,3,0.04823314917965608,2108384
45,44,112.78571016929446,0.5924763497778394,0.36758531652678067,0.4418853491584076,0.5448855616434198,25,103,0,0.046962982075371466,2108384
46,35,113.50284020459756,0.579613932845013,0.3725578452502011,0.44563846054608647,0.5413321292515975,25,108,1,0.04747427413602076,2108384
47,37,113.94733888699797,0.5788451864970992,0.3711515549349644,0.44621805136066295,0.5381804263359995,25,109,4,0.04763600937969554,2108384
48,36,114.52111689353634,0.5603557222320508,0.3826679580190326,0.4382840127794557,0.519233687980937,28,114,3,0.0537368904336212,2108384
49,33,114.84268579457759,0.5735100170320018,0.37114064610621217,0.44209498838921185,0.5325002466343892,26,110,3,0.048278207385371925,2108384
50,34,115.0987274984911,0.5718925867809184,0.37192703037017927,0.43927624189900893,0.5295652974031295,27,110,5,0.04754257288994794,2108384
51,27,115.33801349202612,0.5536487490241342,0.3748634024921456,0.45342546708758935,0.533905114058919,25,119,6,0.04974141332888127,2108384
52,29,115.36478417208453,0.560833746811539,0.37780167180172114,0.4421329321413936,0.529185859881312,26,114,1,0.050513094388877924,2108384
53,31,116.053074717178,0.5606522467266399,0.37530829298647683,0.43533436034422573,0.5176723025786574,29,113,1,0.04972671012491083,2108384
54,76,116.38724840185864,0.5708653486212663,0.3685543050981226,0.42981449299558333,0.5283103077997177,27,110,3,0.046935947151941965,2108384
55,28,116.51201004224245,0.5440764667098119,0.38120949504454593,0.44233830270007735,0.518947686948867,28,119,4,0.04836927239060816,2108384
56,39,116.53083048693652,0.5647440357460976,0.36708351040417686,0.44433461836174054,0.5322882359190735,26,113,5,0.04732534490870733,2108384
57,26,116.69339047841544,0.5457849360280196,0.37474245678206625,0.4511981688345197,0.5290530567486758,26,120,2,0.05032811859699182,2108384
58,16,117.11830477732944,0.5402519217621173,0.3727148375248532,0.45193902059586866,0.5288690295505941,26,122,3,0.047620831878822836,2108384
