capture,step,custom_observed_ms,custom_floor_ms,nccl_observed_ms,nccl_floor_ms,total_observed_ms,total_floor_ms,sync_excess_ms
1092954,0,9.295718,0.803896,0.053415,0.046909,9.349133,0.850805,8.498328
1092954,1,4.432290,0.660794,0.052056,0.048128,4.484346,0.708922,3.775424
1092954,2,4.419977,0.659827,0.056295,0.047231,4.476272,0.707058,3.769214
1092954,3,4.685450,0.661875,0.055328,0.047231,4.740778,0.709106,4.031672
1092954,4,4.149846,0.661271,0.060863,0.048095,4.210709,0.709366,3.501343
1092954,5,4.576728,0.659225,0.051935,0.046592,4.628664,0.705817,3.922847
1092954,6,4.345166,0.659704,0.059728,0.048031,4.404894,0.707735,3.697159
1092954,7,4.635659,0.658224,0.053439,0.047967,4.689097,0.706191,3.982906
1092954,8,5.025348,0.658903,0.057430,0.048062,5.082778,0.706965,4.375813
1092954,9,5.483333,0.662388,0.053383,0.048032,5.536716,0.710420,4.826296
1092954,10,5.664957,0.658260,0.054559,0.048093,5.719516,0.706353,5.013163
1092955,0,4.570042,0.791414,0.070224,0.049408,4.640266,0.840822,3.799444
1092955,1,4.348332,0.665844,0.073751,0.046847,4.422084,0.712691,3.709393
1092955,2,4.529115,0.667323,0.078702,0.046911,4.607817,0.714234,3.893583
1092955,3,4.471554,0.663984,0.076895,0.047232,4.548449,0.711216,3.837233
1092955,4,4.628840,0.666746,0.066695,0.048672,4.695535,0.715418,3.980117
1092955,5,4.382454,0.667762,0.064471,0.046816,4.446925,0.714578,3.732347
1092955,6,4.417061,0.670515,0.074416,0.047840,4.491477,0.718355,3.773121
1092955,7,4.739395,0.671539,0.066351,0.047456,4.805746,0.718995,4.086751
1092955,8,5.687367,0.669755,0.067383,0.048032,5.754750,0.717787,5.036963
1092955,9,5.785713,0.666095,0.067720,0.047935,5.853433,0.714030,5.139403
1092955,10,5.461047,0.667280,0.064478,0.048224,5.525526,0.715504,4.810022
